word,sentence
center,
gross,Eww! That is gross
cut,
penny,The jar had one penny
lady,
cities,
pennies,There were no pennies in the jar
ladies,
daddy,
bunny,The bunny rabbit danced
berry,Strawberry is a kind of berry
daddies,
bunnies,
berries,
teddy,
hobby,
baby,
teddies,
hobbies,
babies,
cherry,Luke picked a cherry off the tree
cherries,The bowl was full of cherries
pretty,
skill,
across,Jump across the creek
grass,Jump in the grass
mess,That room is a mess
egg,
guess,
happen,
puppy,Miguel is not a puppy
teeth,
sheep,
chase,
catch,Catch your breath
teach,Can you teach me how to play minecraft?
wash,Wash your hands
dish,Please get a dish for the ice cream
lunch,He had a Star Wars lunch box
two,The number two
who,Who are you?
with ,Who are you with?
Thursday,The day after Wednesday is Thursday
eight,He ate eight apples
afraid,Don't be afraid of the dark
today,Today I watched Star Wars
town,He drove in to town.
frown,Turn that frown upside down.
clown,It was a clown car.
brown,The house was brown.
house,The house down the street.
mouse,The mouse in the house.
found,He found his hound.
could,They said he could do it.
should,Luke should use the force carefully.
crowd,There was a large crowd at the zoo.
outside,Please play outside today.
sound,Did you hear that sound?
clean,Let's clean up our mess.
mean,I don't want you to be mean to your brother. 
please,Will you please pass the chicken?
eat,Please eat your spinach.
keep,I hope you can keep the force alive.
feel,Can you feel the force?
tree,I like to climb in our tree in the front yard.
people,How many people have green eyes?
sneak,I am going to sneak past the guard.
three,I have three horses.
smart,My mom is very smart.
farm,I want to live on a chicken farm.
party,I can't wait for my Birthday party!
park,Can we go play at the park today?
yard,Let's go play football in the yard.
warm,The sand is warm beneath my toes.
market,We need to get milk from the market today.
large,That pumpkin is very large.
carpet,Miguel likes to lay on the carpet. 
cold,It is very cold outside today.
gold,I am going to go pan for gold in the river. 
hold,Will you hold my hand?
road,Let's follow the yellow brick road.
load,Please load the dishwasher.
boat,Can we go on a boat ride in the bay?
blow,Please go blow your nose.
snow,It will snow when we go to Oregon.
most,I like chocolate the most.
toe,I hit my big toe on the door.
goat,That goat will eat anything!
told,He told the story about Darth Vader.
rainbow,There may be a pot of gold at the end of the rainbow.
